bnf_code,bnf_presentation,bnf_chemical,pct,category,avg_brand_count_per_practice,lowest_decile,quantity,price_per_dose,possible_savings,formulation_swap,num_pack_sizes,flag_imported,flag_broken_bulk,flag_non_bioequivalence,flag_special_containers
040801050AAAAAA,Topiramate_Tab 50mg,Topiramate,99P,M,1.06976744186,0.0335,22525,0.224184056857,4253.794,Tab  / Cap ,3.0,,,,
0408010AEAAAFAF,Pregabalin_Cap 200mg,Pregabalin,99P,C,1.75961538462,0.9775,30795,1.10562865581,4126.3975,,3.0,,,,
0408010H0AAABAB,Lamotrigine_Tab 50mg,Lamotrigine,99P,M,1.37272727273,0.0251781561462,57469,0.0888486053811,3838.49634178,Tab  / Suppos ,3.0,,,,
130201000AAA8A8,Gppe Crm_Aveeno,Other Emollient Preps,99P,NP8,1.0,0.0166457053292,573000,0.0227388008687,3704.79599373,,3.0,,,,1.0
0411000E0AAAFAF,Rivastigmine_Skin Patch 4.6mg/24hrs,Rivastigmine,99P,C,1.10638297872,1.17,2891,2.32868740566,3438.78,,3.0,,,,
0501050A0AAAAAA,Azithromycin_Cap 250mg,Azithromycin,99P,A,1.01086956522,0.35,9127,0.725248154303,3361.44,Cap  / Tab ,3.0,,,,
0406000T0AAAKAK,Prochlpzine Mal_Tab Buccal 3mg,Prochlorperazine Maleate,99P,A,1.26923076923,0.659135792151,18335,0.832813586773,3305.56932049,,3.0,,,,
0407041R0AAABAB,Rizatriptan_Tab 10mg,Rizatriptan,99P,M,1.09523809524,0.486666666667,2783,1.79083145133,3275.25,Tab  / Oral Lyophilisate Tab ,3.0,,,,
0205051R0AAABAB,Ramipril_Cap 2.5mg,Ramipril,99P,M,1.0,0.0432020023622,386726,0.0514710339796,3240.60140268,Cap  / Tab ,3.0,,,,
0408020V0AAALAL,Midazolam_Liq Spec 50mg/5ml,Midazolam Maleate,99P,NP8,1.0,14.7165,264,26.1218921569,3236.707,,3.0,,,,
0802020T0AAABAB,Tacrolimus_Cap 1mg,Tacrolimus,99P,C,1.05263157895,1.1138,7500,1.52637250031,3196.04,,3.0,,,1.0,1.0
0905022S0AAABAB,Sevelamer_Tab 800mg,Sevelamer,99P,M,1.2,0.466555555556,12013,0.746206390437,3148.41411111,,3.0,,,,
0103050P0AAAAAA,Omeprazole_Cap E/C 20mg,Omeprazole,99P,M,1.39830508475,0.0325072443715,2130558,0.0337899148529,3075.11448054,Cap E/C  / Tab E/C ,3.0,,,,1.0
0102000L0AAACAC,Glycopyrronium Brom_Tab 1mg,Glycopyrronium Bromide,99P,A,1.0,7.16098571429,2412,7.56668493922,2920.76802857,,3.0,,,,
0601022B0AAASAS,Metformin HCl_Tab 500mg M/R,Metformin Hydrochloride,99P,C,2.14035087719,0.0617873563218,250204,0.0737847427961,2877.4587931,,3.0,,,,
0407020B0AAAJAJ,Buprenorphine_Patch 20mcg/hr (7day),Buprenorphine,99P,C,1.63265306122,11.4925,2500,12.6946815786,2820.895,,3.0,,,,
040801050AAADAD,Topiramate_Tab 25mg,Topiramate,99P,M,1.0752688172,0.0281666666667,37036,0.0977047625223,2815.4435,Tab  / Cap ,3.0,,,,
0408010H0AAA1A1,Lamotrigine_Tab 200mg,Lamotrigine,99P,M,1.12359550562,0.0429761904762,17404,0.169374589277,2787.04071429,Tab  / Tab Disper ,3.0,,,,
1304000F0AABABA,Betameth Val_Oint 0.1%,Betamethasone Valerate,99P,M,1.4,0.0762845128205,139130,0.0971245263488,2744.0391159,Oint  / Crm ,3.0,,,,1.0
0206010K0AAAEAE,Isosorbide Mononit_Tab 60mg M/R,Isosorbide Mononitrate,99P,C,2.78448275862,0.12466288081,126264,0.154877069883,2736.95510499,Tab  / Cap ,3.0,,,,
0106040M0AAAAAA,Macrogol_Co Oral Pdr Sach S/F,Macrogol 3350,99P,C,3.54700854701,0.142359840522,371430,0.149502361512,2717.77771005,,3.0,,,,
0408010A0AAAAAA,Levetiracetam_Tab 250mg,Levetiracetam,99P,M,1.33653846154,0.0354960771841,46229,0.0850219976018,2693.76764239,,3.0,,,,
0401010ADAAAEAE,Melatonin_Cap 2mg,Melatonin,99P,NP8,1.0,0.479528571429,4188,1.16920980494,2596.64805714,Cap  / Tab ,3.0,1.0,,,
1106000L0AAAAAA,Latanoprost_Eye Dps 50mcg/ml,Latanoprost,99P,M,1.47008547009,0.644150537634,16469,0.804685777693,2532.4504086,,3.0,,,,1.0
0703021Q0AAAAAA,Desogestrel_Tab 75mcg,Desogestrel,99P,M,1.90677966102,0.0227380952381,470592,0.0291652356666,2439.15345238,,3.0,,,,
0404000M0AAANAN,Methylphenidate HCl_Tab 36mg M/R,Methylphenidate Hydrochloride,99P,C,1.41573033708,0.919666666667,10277,1.14657241415,2436.461,,3.0,,,1.0,
0401010ADAABPBP,Melatonin_Tab 3mg,Melatonin,99P,NP8,1.16129032258,0.749166666667,4141,1.34574811143,2436.4325,Tab  / Cap ,,,,,
0408010A0AAAIAI,Levetiracetam_Tab 750mg,Levetiracetam,99P,M,1.17333333333,0.0707142857143,12304,0.231783867109,2405.11142857,,3.0,,,,
0407020B0AAAIAI,Buprenorphine_Patch 10mcg/hr (7day),Buprenorphine,99P,C,1.91428571429,6.31,4214,6.90958917923,2379.01,,3.0,,,,
0206020C0AAAUAU,Diltiazem HCl_Cap 120mg M/R,Diltiazem Hydrochloride,99P,NP8,1.99029126214,0.209535714286,42503,0.272650730569,2341.58553571,Cap  / Tab ,3.0,,,1.0,
0408010W0AAADAD,Sod Valpr_Tab E/C 500mg,Sodium Valproate,99P,M,1.60204081633,0.0787744360902,39935,0.133008030927,2281.47518045,Tab E/C  / Cap ,3.0,,,,
0703010F0AAAJAJ,Ethinylestr/Drospirenone_Tab 30mcg/3mg,Combined Ethinylestradiol 30mcg,99P,NP8,1.79,0.148412698413,57547,0.184362273246,2213.57444444,,3.0,,,,
1310012K0AAARAR,Metronidazole_Gel 0.75%,Metronidazole,99P,C,1.47619047619,0.23725,9955,0.442845929266,2163.39375,Gel  / Crm ,3.0,,,,1.0
0402010ABAAAYAY,Quetiapine_Tab 400mg M/R,Quetiapine,99P,C,1.25,1.5661104189,3894,2.12339210889,2129.4192043,,3.0,,,,
0402010ABAAAVAV,Quetiapine_Tab 50mg M/R,Quetiapine,99P,C,1.45454545455,0.465872210953,9778,0.658362822144,2068.15590264,,3.0,,,,
0408010A0AAAHAH,Levetiracetam_Oral Soln 500mg/5ml S/F,Levetiracetam,99P,M,1.11111111111,0.0207,57450,0.0545224792139,2034.845,,3.0,,,,1.0
0704020N0AAACAC,Tolterodine_Cap 4mg M/R,Tolterodine,99P,C,1.50485436893,0.460313492063,34466,0.560441101233,1984.37568254,,3.0,,,,
0105010B0AAAAAA,Mesalazine_Tab E/C 400mg,Mesalazine (Systemic),99P,C,1.35555555556,0.216666666667,63954,0.250953991402,1899.27666667,,3.0,,,,
0407020A0AAAHAH,Fentanyl_Transdermal Patch 100mcg/hr,Fentanyl,99P,C,1.32258064516,6.918,1414,8.36774655359,1898.226,,3.0,,,,
0407020A0AAAEAE,Fentanyl_Transdermal Patch 25mcg/hr,Fentanyl,99P,C,1.65,2.152,5007,2.57987675416,1859.594,,3.0,,,,
0407020ADAAAGAG,Oxycodone HCl_Tab 20mg M/R,Oxycodone Hydrochloride,99P,C,1.23456790123,0.447142857143,15424,0.561650466921,1859.12857143,,3.0,,,,
0212000B0AAABAB,Atorvastatin_Tab 20mg,Atorvastatin,99P,M,1.16101694915,0.0389030375953,667965,0.0413676218896,1846.72701183,Tab  / Pdr Sach ,3.0,,,,
0407041T0AAACAC,Sumatriptan_Tab 100mg,Sumatriptan Succinate,99P,M,1.07843137255,0.226666666667,7555,0.504065365326,1798.71333333,,3.0,,,,
0409010H0AAAMAM,Ropinirole HCl_Tab 8mg M/R,Ropinirole Hydrochloride,99P,C,1.17307692308,0.676785714286,4569,1.07456241765,1781.25607143,,3.0,,,,
0906040G0AABIBI,Colecal_Cap 400u,Colecalciferol,99P,NP8,1.10526315789,0.111,6128,0.445386043846,1760.662,Cap  / Tab ,3.0,,,,
0905013G0AAA2A2,Mag Glycerophos_Tab 97.2mg,Magnesium Glycerophosphate,99P,NP8,1.0,0.715535714286,1010,2.16961309524,1751.71607143,Tab  / Cap ,3.0,,,,
0407010F0AAAKAK,Co-Codamol_Tab 15mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),99P,A,1.02857142857,0.0841368201862,187642,0.091447244146,1748.68924547,Tab  / Cap ,3.0,,,,
0704010U0AAAAAA,Tamsulosin HCl_Cap 400mcg M/R,Tamsulosin Hydrochloride,99P,A,1.15517241379,0.13,284268,0.137752422157,1744.68,Cap  / Tab ,3.0,,,,
0407010F0AAAAAA,Co-Codamol_Tab 8mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),99P,M,1.0,0.0303014131916,311349,0.037477965783,1743.12976224,Tab  / Cap ,3.0,,,,
0601022B0AAAVAV,Metformin HCl_Tab 1g M/R,Metformin Hydrochloride,99P,C,1.83185840708,0.0989285714286,148854,0.112843482884,1716.46035714,,3.0,,,,
0402010ABAAAWAW,Quetiapine_Tab 200mg M/R,Quetiapine,99P,C,1.39583333333,0.782662585034,4785,1.16560350375,1691.28110612,,3.0,,,,
0410030A0AAAEAE,Buprenorphine_Tab Subling 8mg S/F,Buprenorphine Hydrochloride,99P,M,1.38095238095,0.414285714286,3385,0.873579837711,1691.09714286,,3.0,,,,
0406000S0AAACAC,Ondansetron HCl_Tab 8mg,Ondansetron Hydrochloride,99P,M,1.04,0.22794047619,1853,1.00721227796,1652.77208333,Tab  / Orodisper Tab ,3.0,,,,
0206020R0AAANAN,Nifedipine_Tab 30mg M/R,Nifedipine,99P,C,1.35922330097,0.20625,48462,0.235457021752,1613.01625,Tab  / Cap ,3.0,,,1.0,
0408010AEAAAIAI,Pregabalin_Cap 225mg,Pregabalin,99P,C,1.51948051948,0.9775,12469,1.09900591946,1597.8675,,3.0,,,,
0407020A0AAAFAF,Fentanyl_Transdermal Patch 50mcg/hr,Fentanyl,99P,C,1.39473684211,4.024,2285,4.79647697437,1570.064,,3.0,,,,
0402030Q0AAABAB,Valproic Acid_Tab G/R 500mg,Valproic Acid,99P,C,1.44318181818,0.293553099697,20666,0.37165981503,1558.30343032,Tab G/R  / Cap E/C ,3.0,,,,
1106000ADAAAAAA,Latanoprost/Timolol_Eye Dps 50mcg/5mg/ml,Latanoprost & Timolol,99P,M,1.31683168317,0.914117647059,2590,1.57646817549,1526.35647059,,3.0,,,,1.0
0407020B0AAAHAH,Buprenorphine_Patch 5mcg/hr (7day),Buprenorphine,99P,C,1.87735849057,3.52,5059,3.84360859807,1509.2,,3.0,,,,
040702040AAACAC,Tramadol HCl_Tab 100mg M/R,Tramadol Hydrochloride,99P,NP8,1.56818181818,0.115666666667,25766,0.178799124283,1488.42,Tab  / Cap ,3.0,,,,
0604011L0AAAKAK,Estradiol/Norethist Acet_Tab 2mg/1mg,Estradiol with Progestogen,99P,NP8,1.45263157895,0.148087301587,33926,0.188993552371,1475.48887302,,3.0,,,,
190700000AABABA,Starch Maize Modified_Pdr G/F,Other Base/Dil/SuspAgent/StabiliserPreps,99P,NP8,1.51648351648,0.0208098765432,571569,0.0240884682562,1464.31770864,,,,,,
0206020R0AAARAR,Nifedipine_Tab 20mg M/R,Nifedipine,99P,NP8,1.61111111111,0.140717757937,37919,0.178872724045,1453.99372569,Tab  / Cap ,3.0,,,1.0,
0404000M0AAAMAM,Methylphenidate HCl_Tab 18mg M/R,Methylphenidate Hydrochloride,99P,C,1.39473684211,0.675666666667,7492,0.890215375811,1428.33866667,,3.0,,,1.0,
0406000B0AAABAB,Betahistine HCl_Tab 16mg,Betahistine Hydrochloride,99P,M,1.2,0.0159523809524,101158,0.0293341421435,1399.61047619,,3.0,,,,
0101021B0AAAPAP,Sod Alginate/Pot Bicarb_Tab Chble 500mg,Alginic Acid Compound Preparations,99P,C,1.33333333333,0.0511666666667,39974,0.0834193860905,1396.25633333,,3.0,,,,
0504040M0AAAAAA,Mepacrine HCl_Tab 100mg,Mepacrine Hydrochloride,99P,NP8,1.0,2.87119285714,381,6.25258511905,1392.85892143,Tab  / Cap ,3.0,,,,
0407010F0AAAHAH,Co-Codamol_Tab 30mg/500mg,Co-Codamol (Codeine Phos/Paracetamol),99P,M,1.44444444444,0.0375,1381930,0.0382901901105,1366.345,Tab  / Cap ,3.0,,,,
1108010B0AAABAB,Carbomer 980_Gel Eye Dps 0.2%,Carbomer 940/980,99P,C,1.94782608696,0.159,46650,0.187776557554,1362.46,,3.0,,,,1.0
0408010W0AAACAC,Sod Valpr_Tab E/C 200mg,Sodium Valproate,99P,M,1.72641509434,0.0403434065934,88316,0.0559686458183,1350.18282967,Tab E/C  / Cap ,3.0,,,,
0401010ADAABABA,Melatonin_Oral Soln 5mg/5ml,Melatonin,99P,NP8,1.0,0.190475,16000,0.27785972973,1303.605,Oral Soln  / Liq Spec ,,,,,
0404000M0AAARAR,Methylphenidate HCl_Tab 54mg M/R,Methylphenidate Hydrochloride,99P,C,1.13513513514,1.595,2138,2.09548661369,1259.88,,3.0,,,1.0,
040702040AAAEAE,Tramadol HCl_Tab 200mg M/R,Tramadol Hydrochloride,99P,NP8,1.35820895522,0.236456395349,11222,0.356635335852,1258.30096512,Tab  / Cap ,3.0,,,,
0407041T0AAAFAF,Sumatriptan_Tab 50mg,Sumatriptan Succinate,99P,M,1.14159292035,0.203320333978,17051,0.283161576221,1217.41345291,,3.0,,,,
0105010B0AAASAS,Mesalazine_Tab E/C 800mg,Mesalazine (Systemic),99P,NP8,1.39024390244,0.527766748073,44642,0.561698056321,1212.35173967,,3.0,,,,
1202010U0AAAAAA,Mometasone Fur_Aq N/Spy 50mcg (140 D),Mometasone Furoate,99P,M,1.49557522124,2.23,2855,2.76195993848,1201.79,,3.0,,,,1.0
0408010H0AAACAC,Lamotrigine_Tab 25mg,Lamotrigine,99P,M,1.25961538462,0.0260714285714,41937,0.055227600512,1200.28821429,Tab  / Pdrs ,3.0,,,,
0206020C0AAAWAW,Diltiazem HCl_Cap 240mg M/R,Diltiazem Hydrochloride,99P,C,1.55434782609,0.292857142857,26072,0.366763886714,1190.13857143,,3.0,,,1.0,
0410030C0AAAFAF,Methadone HCl_Mix 1mg/1ml S/F,Methadone Hydrochloride,99P,C,1.10256410256,0.0117569047619,661724,0.0131714411769,1185.81443524,,3.0,,,,
0206020C0AAAAAA,Diltiazem HCl_Tab 60mg M/R,Diltiazem Hydrochloride,99P,A,1.28915662651,0.0883928571429,21755,0.136470918238,1159.60339286,Tab  / Cap ,3.0,,,,
0103050E0AAAAAA,Esomeprazole_Tab E/C 20mg,Esomeprazole,99P,M,1.24242424242,0.110714285714,35519,0.140013155666,1159.18928571,Tab E/C  / Cap E/C ,3.0,,,,
0407020ADAAAHAH,Oxycodone HCl_Tab 40mg M/R,Oxycodone Hydrochloride,99P,C,1.13235294118,0.894285714286,9933,1.01234242686,1154.13,,3.0,,,,
0906040G0AABSBS,Colecal & Calc_Tab 400u/1.5g,Colecalciferol,99P,C,1.57692307692,0.0491666666667,147706,0.057168375211,1144.80333333,Tab  / Tab Chble ,3.0,,,,
0407020ADAAARAR,Oxycodone HCl_Tab 30mg M/R,Oxycodone Hydrochloride,99P,C,1.16666666667,0.680535714286,4782,0.891306694611,1067.52321429,,3.0,,,,
0407020ADAAAFAF,Oxycodone HCl_Tab 10mg M/R,Oxycodone Hydrochloride,99P,C,1.34444444444,0.223571428571,22102,0.281091490718,1065.73428571,,3.0,,,,
1106000ABAAAAAA,Dorzolamide/Timolol_Eye Dps 2%/0.5%,Dorzolamide & Timolol,99P,M,1.42201834862,0.384,6755,0.568380415382,1040.64,,3.0,,,,1.0
0407020A0AAAGAG,Fentanyl_Transdermal Patch 75mcg/hr,Fentanyl,99P,C,1.30769230769,5.612,1143,6.46073348126,1022.354,,3.0,,,,
0803041B0AAAAAA,Anastrozole_Tab 1mg,Anastrozole,99P,M,1.07207207207,0.0435714285714,46386,0.0608119606893,1007.78,Tab  / Cap ,3.0,,,,
0408010G0AAABAB,Gabapentin_Cap 300mg,Gabapentin,99P,M,1.07692307692,0.0306869136189,659878,0.0322746107166,1003.91019535,,3.0,,,,
1106000ACAAAAAA,Brinzolamide_Eye Dps 10mg/ml,Brinzolamide,99P,M,1.57657657658,0.512,13510,0.596444703328,994.08,,3.0,,,,1.0
0303020G0AAABAB,Montelukast_Tab 10mg,Montelukast,99P,M,1.13793103448,0.0646049044124,82838,0.0758918419609,988.372605711,,3.0,,,,
0407020ADAAAIAI,Oxycodone HCl_Tab 80mg M/R,Oxycodone Hydrochloride,99P,C,1.08695652174,1.78910714286,2526,2.1707064478,977.005357143,,3.0,,,,
0103050E0AAABAB,Esomeprazole_Tab E/C 40mg,Esomeprazole,99P,M,1.17894736842,0.134642857143,33918,0.16242500899,961.231071429,Tab E/C  / Cap E/C ,3.0,,,,
0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F,Alginic Acid Compound Preparations,99P,C,2.18421052632,0.01024,1061840,0.0115027280317,948.5804,,3.0,,,,
0206020R0AAAPAP,Nifedipine_Tab 60mg M/R,Nifedipine,99P,C,1.22680412371,0.288035714286,31241,0.315191038375,947.0275,Tab  / Cap ,3.0,,,1.0,
0104020L0AAAAAA,Loperamide HCl_Cap 2mg,Loperamide Hydrochloride,99P,M,1.05128205128,0.0389986881952,266034,0.0421318802433,946.416674421,Cap  / Tab ,3.0,,,,
0501130R0AAABAB,Nitrofurantoin_Cap 100mg,Nitrofurantoin,99P,C,1.0125,0.347333333333,9569,0.442677909963,939.992666667,Cap  / Tab ,3.0,,,,
0905013A0AAAEAE,Mag Aspartate (Mag 10mmol)_Gran Sach,Magnesium Aspartate,99P,NP8,1.0,0.795,278,5.26642857143,923.35,,3.0,,,,
0411000F0AAAGAG,Galantamine_Cap 24mg M/R,Galantamine,99P,C,1.06896551724,1.39642857143,1581,1.91437476826,905.616428571,,3.0,,,,
0408010W0AAA1A1,Sod Valpr_Tab 300mg M/R,Sodium Valproate,99P,C,1.33944954128,0.152340738499,48241,0.170006736678,897.617461925,Tab  / Cap ,3.0,,,,
0406000S0AAABAB,Ondansetron HCl_Tab 4mg,Ondansetron Hydrochloride,99P,M,1.01351351351,0.115965761177,10450,0.290835321884,891.45436446,Tab  / Orodisper Tab ,3.0,,,,
0408010W0AAAAAA,Sod Valpr_Oral Soln 200mg/5ml S/F,Sodium Valproate,99P,M,1.39534883721,0.0141333333333,196960,0.0185307621112,878.660666667,Oral Soln  / Syr ,3.0,,,,
130201000AACACA,Liq Paraf/Isopropyl Myrist_Gel 15%/15%,Other Emollient Preps,99P,C,1.96460176991,0.01166,1862600,0.0123207000768,871.184,,3.0,,,,1.0
0212000B0AAAAAA,Atorvastatin_Tab 10mg,Atorvastatin,99P,M,1.23275862069,0.0328571428571,341064,0.0353227301438,865.975714286,Tab  / Pdr Sach ,3.0,,,,
0206020C0AAAVAV,Diltiazem HCl_Cap 180mg M/R,Diltiazem Hydrochloride,99P,NP8,1.77,0.278571428571,29517,0.326544346851,865.787142857,,3.0,,,1.0,
0704050Z0AAACAC,Sildenafil_Tab 100mg,Sildenafil (Erectile Dysfunction),99P,M,1.16379310345,0.2375,20770,0.281123123146,856.9175,,3.0,,,,
0601012S0AAAIAI,Ins Isop_Inj (Hum) 100u/ml 3ml Pf Pen,Isophane Insulin,99P,NP8,2.20909090909,4.08,8251,4.17027819787,855.2,,,,,,
0212000F0AAAEAE,Colestyramine/Aspartame_Pdr Sach 4g S/F,Colestyramine,99P,A,1.125,0.323,7310,0.438048384518,849.696,,3.0,,,,
0409010H0AAALAL,Ropinirole HCl_Tab 4mg M/R,Ropinirole Hydrochloride,99P,C,1.125,0.403214285714,3596,0.589884409572,841.793928571,,3.0,,,,
1302011M0AAABAB,Gppe Emollient_Oilatum,Liquid Paraffin,99P,NP8,1.66,0.00914,269850,0.0123039264777,775.421,,,,,,
0212000B0AAACAC,Atorvastatin_Tab 40mg,Atorvastatin,99P,M,1.12711864407,0.0453571428571,362852,0.0482860609659,771.89,,3.0,,,,
0103050P0AAAEAE,Omeprazole_Cap E/C 40mg,Omeprazole,99P,M,1.0101010101,0.111428571429,32503,0.144270321494,763.698571429,Cap E/C  / Tab E/C ,3.0,,,,
0202010V0AAANAN,Metolazone_Tab 2.5mg,Metolazone,99P,NP8,1.0,1.19433333333,509,3.96529434284,762.383,Tab  / Cap ,3.0,,,,
0105010B0AAAJAJ,Mesalazine_Suppos 1g,Mesalazine (Systemic),99P,C,1.36206896552,1.14188895349,3738,1.33861247833,757.841124419,,3.0,,,,
0906050P0AAAFAF,Vit E_Cap 400u,Vitamin E,99P,NP8,1.0625,0.164432142857,1314,0.427991517857,750.228078571,Cap  / Tab ,3.0,,,,
0205051R0AAACAC,Ramipril_Cap 5mg,Ramipril,99P,M,1.0,0.03625,470277,0.0378424627538,749.24875,Cap  / Tab ,3.0,,,,
0906040G0AABGBG,"Colecal_Tab 1,000u",Colecalciferol,99P,C,1.20754716981,0.105341220423,8001,0.252875936837,748.291611457,Tab  / Cap ,3.0,,,,
1305020D0AAAFAF,Calcipotriol/Betameth_Oint 0.005%/0.05%,Calcipotriol,99P,C,1.63551401869,0.632333333333,55680,0.64585426491,745.32,Oint  / Gel ,3.0,,,,1.0
0407020Q0AAALAL,Morph Sulf_Tab 30mg M/R,Morphine Sulfate,99P,C,1.21428571429,0.152457142857,15367,0.19676825811,742.220457143,Tab  / Cap ,3.0,,,,
0105010E0AAABAB,Sulfasalazine_Tab E/C 500mg,Sulfasalazine,99P,M,1.61904761905,0.0870975627783,110513,0.0933174643041,737.603808811,Tab E/C  / Suppos ,3.0,,,,
0407020A0AAAUAU,Fentanyl_Transdermal Patch 12mcg/hr,Fentanyl,99P,C,1.58510638298,1.504,4355,1.69769074017,736.354,,3.0,,,,
040801050AAACAC,Topiramate_Tab 200mg,Topiramate,99P,A,1.03225806452,0.233325,3474,0.371346554924,731.49615,Tab  / Cap ,3.0,,,,
0703010E0AAABAB,Ethinylest/Desogestrel_Tab 20mcg/150mcg,Combined Ethinylestradiol 20mcg,99P,NP8,1.41095890411,0.0806349206349,17857,0.119132237504,721.622222222,,3.0,,,,
0102000P0AAABAB,Mebeverine HCl_Tab 135mg,Mebeverine Hydrochloride,99P,M,1.66666666667,0.0687958894311,298985,0.071322838613,716.30154471,Tab  / Oral Pdr Sach ,3.0,,,,
0403030X0AAABAB,Escitalopram_Tab 20mg,Escitalopram,99P,M,1.07954545455,0.045,10516,0.131385661348,703.64,,3.0,,,,
0703010F0AAAAAA,Ethinylest/Desogestrel_Tab 30mcg/150mcg,Combined Ethinylestradiol 30mcg,99P,NP8,1.65656565657,0.0855873015873,56300,0.0993917730699,698.138253968,,3.0,,,,
0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F,Alginic Acid Compound Preparations,99P,C,3.08771929825,0.0039,1701030,0.00432156776183,685.867,,3.0,,,,
1202020L0AAADAD,Sod Chlor_Inh Soln 0.9% 2.5ml Ud Vl,Sodium Chloride,99P,NP8,1.15789473684,0.675,12846,0.737498102234,683.87,,3.0,,,,
0501130R0AAADAD,Nitrofurantoin_Tab 50mg,Nitrofurantoin,99P,M,1.0,0.513995465995,30284,0.535992176325,680.270321411,Tab  / Cap ,3.0,,,,
0206010F0AACGCG,Glyceryl Trinit_Sub A/Spy 400mcg (180D),Glyceryl Trinitrate,99P,A,1.0,1.79,1377,2.26584454586,675.51,Sub A/Spy  / Sub P/Spy ,,,,,
0402010ABAABABA,Quetiapine_Tab 150mg M/R,Quetiapine,99P,C,1.14285714286,0.7825,2680,1.06178519009,672.97,,3.0,,,,
0107020J0AAAEAE,Cinchocaine HCl/Hydrocort_Oint 0.5%/0.5%,Hydrocortisone,99P,NP8,1.44318181818,0.242833333333,8640,0.316754508013,659.88,,3.0,,,,1.0
