bnf_code,bnf_presentation,bnf_chemical,practice,pct,category,avg_brand_count_per_practice,lowest_decile,quantity,price_per_dose,possible_savings,formulation_swap,num_pack_sizes,flag_imported,flag_broken_bulk,flag_non_bioequivalence,flag_special_containers
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,G82014,09W,NP8,1,5.92,1104,9.94,4438.08,,3.0,,,,1.0
0908010P0AAAEAE,Sod Phenylbut_Liq Spec 1.25g/5ml,Sodium Phenylbutyrate,B83602,02N,NP8,1,1.08841333333,700,7.3995,4417.76066667,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,P86006,01D,NP8,1,5.92,1087,9.94,4369.74,,3.0,,,,1.0
0208010L0AAAFAF,"Dalteparin Sod_Inj 25,000u/ml 0.4ml Pfs",Dalteparin Sodium,F82014,08F,NP8,1,5.646,60,76.762,4266.96,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,E82085,06N,NP8,1,5.92,1056,9.94,4245.12,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,F81017,06T,NP8,1,5.92,1054,9.94,4237.08,,3.0,,,,1.0
0902012L0AABXBX,Sod Chlor_Liq Spec 585mg/5ml,Sodium Chloride,G82228,09E,NP8,1,0.630969999998,600,7.571,4164.018,,3.0,,,,
0802020T0AAALAL,Tacrolimus_Liq Spec 5mg/5ml,Tacrolimus,B86672,03C,NP8,1,2.57736,200,23.32955,4150.438,Liq Spec  / Oral Susp ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,N85008,12F,NP8,1,5.92,1027,9.94,4128.54,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,E82035,06K,NP8,1,5.92,1026,9.94,4124.52,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,C82066,03W,NP8,2,5.92,1198,9.29964106845,4048.81,,3.0,,,,1.0
0208010L0AAAFAF,"Dalteparin Sod_Inj 25,000u/ml 0.4ml Pfs",Dalteparin Sodium,E83053,07M,NP8,1,5.646,56,76.7619642857,3982.494,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,M84003,05H,NP8,1,5.92,983,9.94,3951.66,,3.0,,,,1.0
1202020L0AACDCD,Sod Chlor_Neb Soln 7% 5ml Btl,Sodium Chloride,F84006,08M,NP8,1,6.08700000005,30,137.767333333,3950.41,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A85020,13T,NP8,2,5.92,965,9.93652849741,3875.95,,3.0,,,,1.0
091102000AABDBD,Ubidecarenone_Oral Dps 5mg/ml,Other Enzyme Preps 0911020,B86003,03C,NP8,1,1.16999999999,1000,4.9269,3756.90000001,,,,,,
0408010N0AACLCL,Phenobarb_Liq Spec 50mg/5ml,Phenobarbital,K82008,10H,NP8,1,0.4555,2250,2.1112,3725.325,Liq Spec  / Elix ,3.0,,,,
0908010N0AAAIAI,Sod Benz_Liq Spec 1g/5ml,Sodium Benzoate,C88048,03N,NP8,1,0.680953000002,2000,2.5376,3713.294,,3.0,,,,
0404000L0AAAYAY,Dexamfet Sulf/Amfet_Cap 15mg/15mg M/R,Dexamfetamine Sulfate,F83678,08H,NP8,1,11.2844833333,180,31.8448333333,3700.86300001,,3.0,1.0,,,
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),C85020,02P,NP8,1,0.704480519481,1504,3.15795212766,3690.0212987,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,F81081,99G,NP8,1,5.92,909,9.94,3654.18,,3.0,,,,1.0
0208010L0AAAIAI,"Dalteparin Sod_Inj 25,000u/ml 0.72ml Pfs",Dalteparin Sodium,H82083,09G,NP8,1,10.1638796341,56,73.7889285714,3563.00274049,,3.0,,,,
130201000AACPCP,Liq Paraf 50%/Emulsif 50%_Oint,Other Emollient Preps,B86049,02V,NP8,1,0.00944400000002,4000,0.9,3562.224,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,H83017,07V,NP8,1,5.92,886,9.94,3561.72,,3.0,,,,1.0
0101012B0AABSBS,Sod Bicarb_Liq Spec 50mg/5ml,Sodium Bicarbonate,Y00243,06N,NP8,1,0.00958620689655,2835,1.24466666667,3501.45310345,Liq Spec  / Oral Soln ,3.0,,,,
0103030S0AAABAB,Sucralfate_Susp 1g/5ml S/F,Sucralfate,D83615,06L,NP8,1,0.02544,1500,2.35020666667,3487.15,,3.0,,,,
0309010L0AAAHAH,Dextrometh Hydrob_Oral Susp 30mg/5ml,Dextromethorphan Hydrobromide,G82085,99J,NP8,1,0.761100632022,1780,2.71818539326,3483.610875,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,C82024,04C,NP8,1,5.92,865,9.94,3477.3,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,K84001,10Q,NP8,1,5.92,864,9.94,3473.28,,3.0,,,,1.0
0901020D0AAAHAH,Cyanocobalamin_Tab 1mg M/R,Cyanocobalamin,P85021,00Y,NP8,1,0.0781,3216,1.14397077114,3427.8404,,3.0,,,,
0408010N0AACLCL,Phenobarb_Liq Spec 50mg/5ml,Phenobarbital,E85699,07Y,NP8,1,0.4555,2550,1.79278431373,3410.075,Liq Spec  / Elix ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,B85001,03J,NP8,1,5.92,846,9.94,3400.92,,3.0,,,,1.0
0107010S0AAABAB,Sucralfate_Enem 2g In 20ml,Sucralfate,E85681,07Y,NP8,1,11.70975,20,180.0,3365.805,,3.0,,,,
0802020T0AAALAL,Tacrolimus_Liq Spec 5mg/5ml,Tacrolimus,A83031,00C,NP8,1,2.57736,360,11.9129166667,3360.8004,Liq Spec  / Oral Susp ,3.0,,,,
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),J82132,11A,NP8,1,0.704480519481,3000,1.78925333333,3254.31844156,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,P86009,01D,NP8,1,5.92,807,9.94,3244.14,,3.0,,,,1.0
0902021S0AAAZAZ,Sod Chlor_I/V Inf 0.9% 1L,Sodium Chloride,A85005,13T,NP8,2,1.67,70,47.7865714286,3228.16,I/V Inf  / Blad Irrig ,3.0,,,,1.0
0203020P0AAAAAA,Mexiletine HCl_Cap 50mg,Mexiletine Hydrochloride,F81067,06T,NP8,1,0.94,292,11.9457534247,3213.68,,3.0,,,,
0408020V0AAALAL,Midazolam_Liq Spec 50mg/5ml,Midazolam Maleate,C83017,99D,NP8,1,16.68,120,43.411,3207.72,,3.0,,,,
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,E81044,06F,NP8,1,8.46785714286,96,41.8105208333,3200.89571429,,3.0,,,,
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,H82020,09G,NP8,1,8.46785714286,58,63.6555172414,3200.88428571,,3.0,,,,
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,G82092,99J,NP8,1,8.46785714286,30,115.164,3200.88428571,,3.0,,,,
0906040G0AABEBE,"Colecal_Cap 2,200u (Old)",Colecalciferol,M85033,13P,NP8,1,0.247468831169,200,16.1371,3177.92623377,Cap  / Tab ,,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A85006,13T,NP8,2,5.92,831,9.74246690734,3176.47,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A85014,13T,NP8,1,5.92,790,9.94,3175.8,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,E83044,07M,NP8,1,5.92,778,9.94,3127.56,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A89030,00P,NP8,1,5.92,777,9.94,3123.54,,3.0,,,,1.0
091102000AABKBK,Ubidecarenone_Oral Soln 25mg/5ml,Other Enzyme Preps 0911020,B86002,03G,NP8,1,0.266100000001,700,4.7106,3111.15,,3.0,,,,
0103030S0AAAAAA,Sucralfate_Tab 1g,Sucralfate,A87020,99C,NP8,1,0.127142857143,224,14.0106696429,3109.91,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,P81018,01E,NP8,1,5.92,764,9.94,3071.28,,3.0,,,,1.0
0604030P0AAABAB,Oxandrolone_Tab 2.5mg,Oxandrolone,M92009,06A,NP8,1,7.26778571427,224,20.8712053571,3047.166,,3.0,,,,
091102000AABKBK,Ubidecarenone_Oral Soln 25mg/5ml,Other Enzyme Preps 0911020,B81108,03H,NP8,1,0.266100000001,400,7.8756,3043.8,,3.0,,,,
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,C82620,04C,NP8,1,8.46785714286,28,115.163928571,2987.49,,3.0,,,,
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,G83010,07N,NP8,1,8.46785714286,28,115.163928571,2987.49,,3.0,,,,
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,J83009,12D,NP8,1,8.46785714286,28,115.163928571,2987.49,,3.0,,,,
0208010L0AAAFAF,"Dalteparin Sod_Inj 25,000u/ml 0.4ml Pfs",Dalteparin Sodium,M83056,05G,NP8,1,5.646,42,76.7621428571,2986.878,,3.0,,,,
0908010P0AAAEAE,Sod Phenylbut_Liq Spec 1.25g/5ml,Sodium Phenylbutyrate,G82802,09E,NP8,1,1.08841333333,500,7.03054,2971.06333333,,3.0,,,,
0106020C0AAAJAJ,Bisacodyl_Enema 10mg,Bisacodyl,L84030,11M,NP8,1,0.294107718894,90,33.2526666667,2966.2703053,Enema  / Suppos ,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,E82061,06K,NP8,1,5.92,733,9.94,2946.66,,3.0,,,,1.0
0905013G0AAA2A2,Mag Glycerophos_Tab 97.2mg,Magnesium Glycerophosphate,Y02707,99G,NP8,1,0.764035714286,1344,2.94427083333,2930.236,Tab  / Cap ,3.0,,,,
0102000L0AAACAC,Glycopyrronium Brom_Tab 1mg,Glycopyrronium Bromide,L83102,99P,NP8,1,7.16095238095,400,14.4628,2920.73904762,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,E81015,06F,NP8,1,5.92,726,9.94,2918.52,,3.0,,,,1.0
0601011R0AAABAB,Ins Hum_Inj 500u/ml 20ml Vl,Insulin Human,D83610,07K,NP8,1,303.25,2,1743.88,2881.26,,3.0,,,,1.0
0106020C0AAAJAJ,Bisacodyl_Enema 10mg,Bisacodyl,F83018,07R,NP8,1,0.294107718894,60,48.31,2880.95353687,Enema  / Suppos ,3.0,,,,1.0
0908010P0AAACAC,Sod Phenylbut_Cap 500mg,Sodium Phenylbutyrate,P81736,01A,NP8,1,1.972,450,8.34513333333,2867.91,Cap  / Tab ,,,,,
0601011R0AAABAB,Ins Hum_Inj 500u/ml 20ml Vl,Insulin Human,C88647,03N,NP8,1,303.25,3,1258.93,2867.04,,3.0,,,,1.0
0103030S0AAAAAA,Sucralfate_Tab 1g,Sucralfate,E81052,06F,NP8,1,0.127142857143,560,5.23896428571,2862.62,,3.0,,,,
0411000F0AAADAD,Galantamine_Oral Soln 20mg/5ml S/F,Galantamine,M83049,05V,NP8,1,1.2,900,4.37,2853.0,,3.0,,,,1.0
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),J82018,11A,NP8,1,0.704480519481,1400,2.74002857143,2849.76727273,,3.0,,,,
0208010L0AAAFAF,"Dalteparin Sod_Inj 25,000u/ml 0.4ml Pfs",Dalteparin Sodium,G82119,09E,NP8,1,5.646,40,76.762,2844.64,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,H85041,08X,NP8,1,5.92,707,9.94,2842.14,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,P81184,01E,NP8,2,5.92,703,9.93523470839,2822.71,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,B84006,02T,NP8,1,5.92,700,9.94,2814.0,,3.0,,,,1.0
0901020D0AAAFAF,Cyanocobalamin_Tab 1mg,Cyanocobalamin,L81090,11H,NP8,1,0.0870773809524,112,25.0972321429,2801.13733333,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,M84006,05H,NP8,1,5.92,695,9.94,2793.9,,3.0,,,,1.0
0906040G0AABIBI,Colecal_Cap 400u,Colecalciferol,A81030,00M,NP8,1,0.111,4927,0.676322305663,2785.343,Cap  / Tab ,3.0,,,,
0505050P0AAABAB,Praziquantel_Tab 500mg,Praziquantel,B85023,03A,NP8,1,3.47,90,34.3707777778,2781.07,,3.0,,,,
0103030S0AAAAAA,Sucralfate_Tab 1g,Sucralfate,G84003,07Q,NP8,1,0.127142857143,200,14.01065,2776.70142857,,3.0,,,,
0408020V0AAALAL,Midazolam_Liq Spec 50mg/5ml,Midazolam Maleate,L84036,11M,NP8,1,16.68,105,43.0796190476,2771.96,,3.0,,,,
0407020Q0AAFYFY,Morph Sulf_Intrasite Gel 0.2%,Morphine Sulfate,L82044,11N,NP8,1,3.08549999998,200,16.905,2763.9,Intrasite Gel  / Gel ,3.0,,,,
0403040W0AAADAD,Venlafaxine_Cap 75mg M/R,Venlafaxine,C83063,99D,C,2,0.233035714286,5177,0.763521344408,2746.32410714,Cap  / Tab ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A88008,00N,NP8,1,5.92,683,9.94,2745.66,,3.0,,,,1.0
0106020C0AAAJAJ,Bisacodyl_Enema 10mg,Bisacodyl,B86032,02V,NP8,2,0.294107718894,54,51.0190740741,2739.14818318,Enema  / Suppos ,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A87006,99C,NP8,1,5.92,677,9.94,2721.54,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,M83010,05D,NP8,1,5.92,674,9.94,2709.48,,3.0,,,,1.0
0604011D0AAALAL,Ethinylestr_Tab 2mcg,Ethinylestradiol,B86064,03C,NP8,1,2.0,112,26.1803571429,2708.2,Tab  / Cap ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,M86624,05A,NP8,1,5.92,672,9.94,2701.44,,3.0,,,,1.0
0601011R0AAABAB,Ins Hum_Inj 500u/ml 20ml Vl,Insulin Human,C81028,04J,NP8,1,303.25,5,841.89,2693.2,,3.0,,,,1.0
0604011D0AAALAL,Ethinylestr_Tab 2mcg,Ethinylestradiol,C84051,04E,NP8,1,2.0,400,8.7311,2692.44,Tab  / Cap ,3.0,,,,
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),E82640,06N,NP8,1,0.704480519481,1048,3.26020992366,2678.40441558,,3.0,,,,
0208010L0AAAGAG,"Dalteparin Sod_Inj 25,000u/ml 0.5ml Pfs",Dalteparin Sodium,G82015,10A,NP8,1,7.05785714286,90,36.7013333333,2667.91285714,,3.0,,,,
0208010L0AAAGAG,"Dalteparin Sod_Inj 25,000u/ml 0.5ml Pfs",Dalteparin Sodium,E82084,06N,NP8,1,7.05785714286,60,51.523,2667.90857143,,3.0,,,,
0208010L0AAAGAG,"Dalteparin Sod_Inj 25,000u/ml 0.5ml Pfs",Dalteparin Sodium,P91035,02A,NP8,1,7.05785714286,60,51.523,2667.90857143,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,B83019,02N,NP8,2,5.92,669,9.89994020927,2662.58,,3.0,,,,1.0
0103030S0AAAAAA,Sucralfate_Tab 1g,Sucralfate,N81084,01R,NP8,1,0.127142857143,448,6.04488839286,2651.15,,3.0,,,,
0408010N0AACLCL,Phenobarb_Liq Spec 50mg/5ml,Phenobarbital,E85053,07W,NP8,1,0.4555,600,4.85146666667,2637.58,Liq Spec  / Elix ,3.0,,,,
0205051R0AAAEAE,Ramipril_Liq Spec 5mg/5ml,Ramipril,B82037,03M,NP8,1,0.546666666667,750,4.06092,2635.69,Liq Spec  / Oral Soln ,3.0,,,,
0601022B0AAAIAI,Metformin HCl_Liq Spec 500mg/5ml,Metformin Hydrochloride,F85034,08D,NP8,1,0.104349047619,4200,0.72875,2622.484,Liq Spec  / Susp ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,C81048,04R,NP8,2,5.92,1994,7.23177532598,2615.68,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,C82651,04C,NP8,1,5.92,643,9.94,2584.86,,3.0,,,,1.0
0908010S0AAACAC,Trientine Dihydroch_Cap 300mg,Trientine Dihydrochloride,J83021,99N,NP8,1,22.9108,100,48.75,2583.92,,,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,L82039,11N,NP8,1,5.92,636,9.94,2556.72,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,D81028,06H,NP8,1,5.92,632,9.94,2540.64,,3.0,,,,1.0
0906040G0AABGBG,"Colecal_Tab 1,000u",Colecalciferol,P82003,00T,C,1,0.0576323653715,1272,2.04052672956,2522.24163125,Tab  / Cap ,3.0,,,,
0408020V0AAALAL,Midazolam_Liq Spec 50mg/5ml,Midazolam Maleate,G82622,09W,NP8,1,16.68,120,37.574,2507.28,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,M86020,05A,NP8,1,5.92,623,9.94,2504.46,,3.0,,,,1.0
0208010L0AAAGAG,"Dalteparin Sod_Inj 25,000u/ml 0.5ml Pfs",Dalteparin Sodium,M83046,05G,NP8,1,7.05785714286,56,51.5228571429,2490.04,,3.0,,,,
0208010L0AAAGAG,"Dalteparin Sod_Inj 25,000u/ml 0.5ml Pfs",Dalteparin Sodium,F83023,07R,NP8,1,7.05785714286,28,95.9878571429,2490.04,,3.0,,,,
0601040E0AABHBH,Diazoxide_Oral Susp 250mg/5ml,Diazoxide,E84013,07P,NP8,1,1.50603888889,300,9.776,2480.98833333,Oral Susp  / Oral Soln ,3.0,1.0,,,1.0
0601040E0AABHBH,Diazoxide_Oral Susp 250mg/5ml,Diazoxide,G82035,10D,NP8,1,1.50603888889,300,9.776,2480.98833333,Oral Susp  / Oral Soln ,3.0,1.0,,,1.0
0212000B0AAABAB,Atorvastatin_Tab 20mg,Atorvastatin,M82017,05N,M,2,0.0389027702336,3612,0.72188538206,2466.93319392,Tab  / Pdr Sach ,3.0,,,,
0403040W0AAAEAE,Venlafaxine_Cap 150mg M/R,Venlafaxine,C83063,99D,C,2,0.381251795444,2798,1.25183345247,2435.88747635,Cap  / Tab ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,P81055,01E,NP8,2,5.92,602,9.92330564784,2409.99,,3.0,,,,1.0
0401010ADAABPBP,Melatonin_Tab 3mg,Melatonin,G83047,07N,NP8,2,0.749107142857,270,9.58737037037,2386.33107143,Tab  / Cap ,,,,,
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),D82015,07J,NP8,1,0.704480519481,724,3.98604972376,2375.8561039,,3.0,,,,
0101012B0AAAUAU,Sod Bicarb_Liq Spec 420mg/5ml,Sodium Bicarbonate,B81617,03K,NP8,1,0.25182,1000,2.625,2373.18,Liq Spec  / Oral Soln ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A86024,13T,NP8,1,5.92,589,9.94,2367.78,,3.0,,,,1.0
0212000B0AAABAB,Atorvastatin_Tab 20mg,Atorvastatin,J82007,11A,M,2,0.0389027702336,11601,0.24225325403,2359.06896252,Tab  / Pdr Sach ,3.0,,,,
0802020T0AAAGAG,Tacrolimus_Liq Spec 2.5mg/5ml,Tacrolimus,H82046,09G,NP8,1,0.995539999999,400,6.89,2357.784,Oral Soln  / Oral Susp ,3.0,,,,
0906040G0AABGBG,"Colecal_Tab 1,000u",Colecalciferol,C84133,04L,C,2,0.0576323653715,3636,0.704735973597,2352.86871951,Tab  / Cap ,3.0,,,,
0501030F0AAAAAA,Demeclocycline HCl_Cap 150mg,Demeclocycline Hydrochloride,M81022,05T,C,1,5.74607142857,424,11.2278066038,2324.25571429,Cap  / Tab ,3.0,,,,
1108010A0AAACAC,Mercaptamine HCl_Eye Dps 0.55%,Mercaptamine Hydrochloride,B81013,02Y,NP8,1,2.879,80,31.896,2321.36,,3.0,,,,
